Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature,Album_Fearless,Album_Lover,Album_Midnights,Album_Red,Album_Speak Now,Album_Taylor Swift,Album_evermore,Album_folklore,Album_reputation,Song Name_22,Song Name_A Perfectly Good Heart,Song Name_A Place in this World,Song Name_Afterglow,Song Name_All Too Well,Song Name_All You Had To Do Was Stay,Song Name_Anti-Hero,Song Name_Back To December,Song Name_Bad Blood,Song Name_Begin Again,Song Name_Bejeweled,Song Name_Better Than Revenge,Song Name_Blank Space,Song Name_Breathe,Song Name_Call It What You Want,Song Name_Change,Song Name_Clean,Song Name_Cold As You,Song Name_Cornelia Street,Song Name_Cruel Summer,Song Name_Dancing With Our Hands Tied,Song Name_Daylight,Song Name_Dear John,Song Name_Death By A Thousand Cuts,Song Name_Delicate,Song Name_Don’t Blame Me,Song Name_Dress,Song Name_Enchanted,Song Name_End Game,Song Name_Everything Has Changed,Song Name_False God,Song Name_Fearless,Song Name_Fifteen,Song Name_Forever & Always,Song Name_Getaway Car,Song Name_Gorgeous,Song Name_Haunted,Song Name_Hey Stephen,Song Name_Holy Ground,Song Name_How You Get The Girl,Song Name_I Almost Do,Song Name_I Did Something Bad,Song Name_I Forgot That You Existed,Song Name_I Knew You Were Trouble.,Song Name_I Know Places,Song Name_I Think He Knows,Song Name_I Wish You Would,Song Name_I'm Only Me When I'm With You,Song Name_Innocent,Song Name_Invisible,Song Name_It’s Nice To Have A Friend,Song Name_Karma,Song Name_King Of My Heart,Song Name_Labyrinth,Song Name_Last Kiss,Song Name_Lavender Haze,Song Name_London Boy,Song Name_Long Live,Song Name_Look What You Made Me Do,Song Name_Love Story,Song Name_Lover,Song Name_ME! (feat. Brendon Urie of Panic! At The Disco),Song Name_Maroon,Song Name_Mary's Song (Oh My My My),Song Name_Mastermind,Song Name_Mean,Song Name_Midnight Rain,Song Name_Mine,Song Name_Miss Americana & The Heartbreak Prince,Song Name_Never Grow Up,Song Name_New Year’s Day,Song Name_Our Song,Song Name_Out Of The Woods,Song Name_Paper Rings,Song Name_Picture To Burn,Song Name_Question...?,Song Name_Red,Song Name_Sad Beautiful Tragic,Song Name_Shake It Off,Song Name_Should've Said No,Song Name_Snow On The Beach (feat. Lana Del Rey),Song Name_So It Goes...,Song Name_Soon You’ll Get Better (feat. The Chicks),Song Name_Sparks Fly,Song Name_Speak Now,Song Name_Starlight,Song Name_State Of Grace,Song Name_Stay Beautiful,Song Name_Stay Stay Stay,Song Name_Style,Song Name_Sweet Nothing,Song Name_Teardrops On My Guitar - Radio Single Remix,Song Name_Tell Me Why,Song Name_The Archer,Song Name_The Best Day,Song Name_The Last Time,Song Name_The Lucky One,Song Name_The Man,Song Name_The Outside,Song Name_The Story Of Us,Song Name_The Way I Loved You,Song Name_This Is Why We Can't Have Nice Things,Song Name_This Love,Song Name_Tied Together with a Smile,Song Name_Tim McGraw,Song Name_Treacherous,Song Name_Vigilante Shit,Song Name_We Are Never Ever Getting Back Together,Song Name_Welcome To New York,Song Name_White Horse,Song Name_Wildest Dreams,Song Name_You Belong With Me,Song Name_You Need To Calm Down,Song Name_You're Not Sorry,"Song Name_You're On Your Own, Kid",Song Name_august,Song Name_betty,Song Name_cardigan,Song Name_champagne problems,Song Name_closure,Song Name_coney island (feat. The National),Song Name_cowboy like me,Song Name_dorothea,Song Name_epiphany,Song Name_evermore (feat. Bon Iver),Song Name_exile (feat. Bon Iver),Song Name_gold rush,Song Name_happiness,Song Name_hoax,Song Name_illicit affairs,Song Name_invisible string,Song Name_ivy,Song Name_long story short,Song Name_mad woman,Song Name_marjorie,Song Name_mirrorball,Song Name_my tears ricochet,"Song Name_no body, no crime (feat. HAIM)",Song Name_peace,Song Name_seven,Song Name_the 1,Song Name_the last great american dynasty,Song Name_this is me trying,Song Name_tolerate it,Song Name_willow,Song Name_‘tis the damn season
0.668,0.672,2.0,-4.931,1.0,0.0303,0.111,0.0,0.329,0.539,89.011,201107.0,4.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.563,0.934,8.0,-3.629,1.0,0.0646,0.00452,0.000807,0.103,0.518,143.964,213053.0,4.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.612,0.394,7.0,-5.723,1.0,0.0243,0.637,0.0,0.147,0.233,96.001,203227.0,4.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.483,0.751,4.0,-5.726,1.0,0.0365,0.00349,0.0,0.128,0.268,156.092,220147.0,4.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.594,0.712,5.0,-4.418,1.0,0.0273,0.04,0.0,0.309,0.476,99.972,241987.0,4.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.556,0.651,7.0,-4.396,1.0,0.0266,0.067,0.0,0.145,0.203,95.485,294333.0,4.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.618,0.741,2.0,-3.95,1.0,0.031,0.17,0.0,0.0822,0.296,118.984,235267.0,4.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.841,0.544,6.0,-7.347,1.0,0.0309,0.194,2.48e-06,0.108,0.831,115.994,254307.0,4.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.578,0.34,0.0,-8.027,1.0,0.0264,0.305,0.0,0.104,0.223,92.702,234427.0,4.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.687,0.783,6.0,-4.44,1.0,0.0386,0.162,1.35e-05,0.114,0.443,129.964,231133.0,4.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
